category,exercise,equipment,steps,cues_feel,good_for,why_do_it,regressions,progressions,cautions,sources,tag_goal,tag_area,tag_feel,tag_intensity,tag_time_cost,tag_equipment,tag_pattern,tag_contra
Latest,Wall sit (isometric),Muur,"1) Rug tegen muur. 2) Voeten ±60 cm naar voren. 3) Zak tot knieën ~90° boven enkels. 4) Houd 15–60 sec, 3–5 sets.","Quadriceps ‘in brand’, core licht aangespannen; knieën voelen stabiel (niet stekend).","Quadriceps-uithouding, knie-‘tolerantie’ opbouwen (pijnvrij).","Hype omdat het low-impact is maar verrassend zwaar, en makkelijk te doseren in tijd.","Hoger zitten (grotere kniehoek), kortere holds.","Langere holds, gewicht op schoot, 1-been (voor gevorderden).",Kniepijn: ga hoger zitten of stop; let op knieën boven enkels.,https://www.mayoclinichealthsystem.org/hometown-health/speaking-of-health/isometric-exercise-and-blood-pressure,strength|trend,knee,sensitive_overloaded,medium,medium,wall,squat_pattern,deep_knee_flex
Latest,Pilates ‘Hundred’ (core endurance),Mat,"1) Ruglig, knieën in tabletop. 2) Hoofd/schouders licht omhoog (of hoofd neer bij nekklachten). 3) Armen naast lichaam, kleine ‘pumps’. 4) 10 ademcycli.",Diepe buikspieren werken; nek blijft lang; onderrug blijft ‘geankerd’.,Core-uithouding en adem-coördinatie (Pilates staple).,Hype via Pilates-renaissance: core zonder zware spullen.,"Voeten op vloer, hoofd op mat.","Benen verder gestrekt (lager), langere set.",Nek/onderrug: kies regressie; stop bij pijn.,https://www.verywellfit.com/how-to-do-the-pilates-hundred-2704677,trend,general,general,medium,medium,mat,core,neck_load
Daily Stretches,Wrist flexor stretch (passief),Tafel/hand,"1) Arm gestrekt, palm omhoog. 2) Buig pols omlaag met andere hand tot rek. 3) 20–30 sec per kant.",Rek onderarm/ pols; geen tinteling in vingers.,"Polsstijfheid, toetsenbord/muis-belasting.",Mensen onderschatten hoeveel ‘handenwerk’ je doet per dag.,Korter/kleiner bereik.,Meer sets verspreid over dag.,Tinteling/gevoelsverlies: stop en laat checken.,https://www.ruh.nhs.uk/patients/patient_information/HTH024_Wrist_Exercises.pdf,mobility,hand_wrist,stiff_tight,low,short,,mobility,
Daily Stretches,Wrist extensor stretch (passief),Tafel/hand,"1) Arm gestrekt, palm omlaag. 2) Buig pols omlaag met andere hand tot rek bovenarm/onderarm. 3) 20–30 sec.",Rek bovenkant onderarm; niet ‘zenuwachtig’ prikkelend.,"Tenniselleboog-achtige stijfheid, muiswerk.",Veel ‘scrollen’ en typen = extensoren aan.,Korter.,Combineer met rustige kracht (wrist curls) later.,Scherpe elleboogpijn: zachter of stop.,https://www.ruh.nhs.uk/patients/patient_information/HTH024_Wrist_Exercises.pdf,mobility,hand_wrist,stiff_tight,low,short,,mobility,
Daily Stretches,Ankle dorsiflexion stretch (towel stretch),Handdoek,1) Zit met been gestrekt. 2) Handdoek om bal van voet. 3) Trek voet rustig naar je toe. 30 sec; wissel.,Rek kuit/achilles; geen scherpe hielpijn.,"Enkelmobiliteit (dorsiflexie), vaak limiterend bij squat/treppen.",Enkelstijfheid sluipt erin en raakt alles ‘boven’ je enkel.,Knie licht gebogen.,Knee-to-wall (staande variant) later.,Acute achilles: doseer.,https://orthoinfo.aaos.org/globalassets/pdfs/2017-rehab_foot-and-ankle.pdf,mobility,ankle_foot,stiff_tight,low,short,towel,ankle_calf|mobility,
Daily Stretches,Adductor stretch (side lunge hold),Geen,"1) Sta breed. 2) Zak naar één kant (heup naar achter), andere been gestrekt. 3) Houd 20–40 sec, wissel.",Rek binnenkant dij; knieën volgen tenen.,Adductoren/ lies soepelheid.,Veel zitten + weinig zijwaarts bewegen = strakke adductoren.,"Minder breed, kortere hold.","Dieper, of dynamisch 6–10 reps.",Liespijn: kleiner en gecontroleerd.,https://orthoinfo.aaos.org/globalassets/pdfs/2017-rehab_hip.pdf,mobility|strength,hip_glute,sensitive_overloaded|stiff_tight,medium,short,none,mobility|single_leg,deep_knee_flex
Rehabilitation,Ankle alphabet,Stoel,"1) Zit, voet van vloer. 2) ‘Schrijf’ het alfabet met je tenen (A–Z). 1–2 rondes.","Zachte beweging in alle richtingen; mag vermoeien, niet steken.",Enkel range-of-motion na verzwikking/stijfheid.,Eenvoudige ROM-prikkel zonder gewicht.,Alleen A–M.,"Langzamer en groter, daarna balansoefeningen.",Zwelling/pijn toename: minder.,https://orthoinfo.aaos.org/en/recovery/foot-and-ankle-conditioning-program/,rehab,ankle_foot,sensitive_overloaded|unstable_weak,low,short,chair_step,ankle_calf,
Rehabilitation,Golf ball roll (plantar fascia),Golfbal/tennisbal,"1) Zit/sta. 2) Rol bal onder voetholte 1–2 min. 3) Druk is ‘comfortabel pijnlijk’, niet scherp.",Druk/ontspanning voetzool; geen scherpe hielpijn.,"Voetzoolspanning, voetmobiliteit.",Veel gebruikt in voet/enkelschema’s omdat het makkelijk thuis kan.,"Zachtere bal, minder druk.","Langer, of staand meer gewicht.","Ontstoken/acute pijn: zachter, korter.",https://orthoinfo.aaos.org/en/recovery/foot-and-ankle-conditioning-program/,rehab,ankle_foot,sensitive_overloaded|unstable_weak,low,short,ball,general,
Rehabilitation,Calf raises (foot/ankle rehab variant),Stoel voor steun,"1) Sta, hand op stoel. 2) Kom op tenen, langzaam terug. 2×10 (opbouwen).",Kuit werkt; enkel blijft recht (niet naar buiten zwikken).,Enkel/kuit kracht na verzwikking of stijfheid.,Kracht rond enkel is key voor stabiliteit.,"Kleiner bereik, meer steun.","1-been, traprand.",Achillespijn: doseer.,https://orthoinfo.aaos.org/en/recovery/foot-and-ankle-conditioning-program/,rehab|strength,ankle_foot,sensitive_overloaded|unstable_weak,low,medium,chair_step,ankle_calf,
Rehabilitation,Knee to chest stretch (back),Vloer/bed,"1) Ruglig. 2) Trek één knie rustig naar borst, andere knie gebogen of gestrekt. 3) Houd 5–20 sec; wissel.",Rek bil/onderrug; geen scherpe pijn of uitstralende tinteling.,Lage-rug ‘ontspanning’ en mobiliteit.,Veel gebruikt als laagdrempelige rugoefening.,Kortere hold.,Beide knieën tegelijk (als comfortabel).,Uitstraling: stop/aanpassen.,https://www.nhsinform.scot/illnesses-and-conditions/muscle-bone-and-joints/neck-and-back-problems-and-conditions/exercises-for-back-pain/,mobility|rehab,knee|lowback_core,sensitive_overloaded|unstable_weak,low,short,,mobility,
Rehabilitation,Sit-to-stand (supported) – rehab,Stoel,1) Sta op uit stoel met voeten onder je. 2) Gebruik handen zo nodig. 3) Rustig zitten. 10 reps.,"Benen werken, controle in knieën/heupen.",Algemene functionele revalidatie (benen/core).,"Veel rehab is: opnieuw goed leren bewegen, niet fancy zijn.","Hoger zitvlak, meer steun.","Langzamer zakken, extra gewicht.",Duizelig: pauze.,https://www.wwl.nhs.uk/media/.leaflets/6214e7c8e2e1f0.63708939.pdf,rehab,knee,sensitive_overloaded|unstable_weak,low,medium,chair_step,squat_pattern,
Rehabilitation,Finger tendon glides (hand),Geen,1) Hand recht. 2) Maak ‘hook fist’. 3) Maak ‘full fist’. 4) Maak ‘straight fist’. 5) Terug naar recht. 5–10 reps.,Zachte rek in vingers; geen scherpe pijn.,Vinger/hand mobiliteit (stijfheid).,Handen zijn complexe gewrichten; glides houden beweging ‘glad’.,Minder reps.,"Langzamer, vaker per dag.",Na operatie: volg protocol.,https://www.arthritis-uk.org/information-and-support/living-with-arthritis/health-and-wellbeing/exercising-with-arthritis/exercises-for-healthy-joints/exercises-for-the-fingers-hands-and-wrists/,rehab,hand_wrist,sensitive_overloaded|unstable_weak,low,short,none,general,
Strength,Overhead press (band),Weerstandsband,"1) Band onder voeten, handen op schouderhoogte. 2) Druk boven hoofd, ribben laag. 3) Rustig terug. 2–4×8–12.",Schouders/triceps; core stabiliseert.,Schouderkracht en overhead-capaciteit.,"Mensen hebben overhead strength nodig (tillen, spullen in kast).","Lichtere band, halve ROM.","Zwaardere band, 1-arm press.",Schouderpinch: verklein ROM en check scapula.,https://www.nhs.uk/live-well/exercise/strength-exercises/,strength,shoulder,unstable_weak,medium,medium,band,push,overhead_load
Strength,Single-leg RDL (hinge + balance),Geen/gewicht,"1) Sta op één been. 2) Hinge: romp voorover, ander been achter. 3) Heupen ‘vlak’, rug neutraal. 2–3×6–10 per kant.",Hamstring/bil standbeen; balans-uitdaging.,Posterior chain + enkel/heupstabiliteit.,Bouwt ‘anti-wiebel’ in heup/enkels.,Hand op muur/stoel.,Gewicht in contralaterale hand.,Rugpijn: klein bereik.,https://www.nhs.uk/live-well/exercise/strength-exercises/,strength,hip_glute,unstable_weak,high,medium,weights,hinge_pattern,
Strength,Glute bridge (reps),Vloer,"1) Ruglig, knieën gebogen. 2) Til heupen op, knijp billen. 3) 2–4×10–15.",Bilspieren; onderrug neutraal.,"Heup-extensie kracht, basis voor lopen/rennen.",Veel mensen zijn ‘quad dominant’—bridge leert billen werken.,Kleiner bereik.,"1-benig, voeten hoger.","Hamstringkramp: voeten iets verder, focus op glute squeeze.",https://orthoinfo.aaos.org/globalassets/pdfs/2017-rehab_spine.pdf,stability|strength,hip_glute,unstable_weak,medium,medium,,core,
Strength,Step-up,Trap/step,1) Zet hele voet op step. 2) Duw omhoog via voorste been. 3) Controleer terug. 2–3×8 per kant.,"Quad/bil; knie volgt tenen, heup stabiel.",Functionele beentraining (traplopen).,Super specifiek voor dagelijks leven.,"Lagere step, steun aan leuning.","Hogere step, gewicht.",Kniepijn: lager en gecontroleerd.,https://www.nhs.uk/live-well/exercise/strength-exercises/,strength,knee,unstable_weak,medium,medium,chair_step,single_leg,deep_knee_flex
Daily Stretches,Cross-body shoulder stretch,Geen,1) Breng arm horizontaal voor borst. 2) Trek met andere arm zacht naar je toe. 20–30 sec; wissel.,Rek achterzijde schouder; geen scherpe pijn voorin.,Achterste kapsel/achter schouder soepelheid.,Handig bij schouderstijfheid door veel muiswerk/drukken.,Minder ver trekken.,"Langere hold, 2–3 sets.",Pijn ‘voorin’ schouder: stop/aanpassen.,https://orthoinfo.aaos.org/globalassets/pdfs/2017-rehab_shoulder.pdf,mobility|posture,shoulder,stiff_tight,low,short,none,mobility,
Rehabilitation,Ankle range-of-motion circles,Stoel,"1) Zit, voet van vloer. 2) Maak langzame cirkels met enkel: 10x linksom, 10x rechtsom. 3) Herhaal 1–2 sets.","Zachte beweging, geen scherpe pijn.",Enkelmobiliteit bij stijfheid/na verzwikking.,Vaak eerste stap vóór kracht/balans.,Kleinere cirkels.,Staand gewicht verplaatsen later.,Zwelling/pijn toename: minder.,https://orthoinfo.aaos.org/en/recovery/foot-and-ankle-conditioning-program/,rehab,ankle_foot,sensitive_overloaded|unstable_weak,low,short,chair_step,ankle_calf,
